UNIT CODE, UNIT NAME
"SPPA2007,",Language Analysis and Assessment
"SPPA6008,",Disability and Multimodal Communication
"SPPA5004,",Evidence Based Clinical Decision Making
"SPPA3007,",Voice and Speech Science
"SPPA5005,",Language across the Lifespan: Assessment and Analysis
"SPPA6009,",Management and Coaching in Speech Pathology
"SPPA2006,",Introduction to Speech Pathology Practice
"SPPA3008,",Counselling and Collaborative Practice in Speech Pathology
"REHT6005,",Clinical Exercise Physiology for Mental Health Recovery
"REHT6007,",Clinical Exercise Physiology Skills Practicum 3
"REHT6008,",Pre-clinical Practice and Professional Skills Practicum 1
"SCWK1000,","Social Work Philosophy, Policy and Context"
"SCWK2000,",Social Work Integrity and Accountability in Practice
"SCWK4005,",Social Policy Advocacy and Practice
"SCWK5002,",Introduction to Social Work Field Education
"SCWK2001,","Citizenship, Culture and Diversity"
"SCWK6001,",Advanced Social Work Field Education
"SPAT1001,",Fundamentals of Surveying
"PUBH3001,",Applied Research and Biostatistics
"PUBH1001,","Introduction to Health, Safety and Environment"
"SPAT3001,",Mine Surveying
"REHT2003,",Exercise Delivery
"SPAT1000,",Survey Computations
"SPAT2015,",Geodata Processing
"SPAT2003,",Engineering Surveying
"SPAT3005,",Land Planning
"SPAT2002,",Coordinate and Mapping Systems
"SPAT2016,",Photogrammetry for Mining Operation
"PWRP1004,",Fundamentals of Academic Writing
"PATH2006,",Fundamentals of Clinical Pathophysiology
"OCHS5004,",Accident Prevention and Safety Management
"OCCT6009,",Occupational Therapy in Mental Health Practice
"OCHS5005,",Health and Safety Economics and Management
"PATH6001,",Cardiovascular and Respiratory Clinical Exercise Physiology
"PATH6003,",Clinical Exercise Physiology for Chronic Renal and Metabolic Conditions
"PATH6005,",Clinical Exercise Physiology Across the Life Course
"PHAR4007,",Pharmacy Practice 5
"PHAR3002,",Pharmacy Practice 3
"PHAR2003,",Pharmacy Practice 2
"PRRE6009,",Mining and Metallurgy Research Literature Review
"PRRE5000,",Essentials of Materials Engineering
"PROP3002,",Property Finance and Capital Markets
"PRRE4009,",Combustion Engineering and Gas Utilisation
"PRRE4008,",Process Monitoring and Fault Diagnosis
"PRRE6015,",Systems Control and Remote Operations
"PRRE5007,",Fundamentals of the Resource Production Industry
"ZOOL2000,",Animal Diversity and Evolution
"ZOOL5000,",Diversity of Animal Life
"ZOOL2001,",Marine Biodiversity
"OCCT2002,","Foundations of Environment, Health and Disability"
"NETS3010,",Online Games and Play
"PATH2001,",Foundations of Pathology
"PEEN3005,",Petroleum Geology and Geophysics
"PEEN6008,",Advanced Drilling Practices
"PEEN6014,",Advanced Numerical Reservoir Simulation
"PHGY3002,",Rural Geographies
"PSYC7001,",Psychology Doctoral Practicum 1
"PSYC7002,",Psychology Doctoral Practicum 2
"PUBP6003,",Delivering Public Value (ANZSOG)
"PUBP6005,",Governing By the Rules (ANZSOG)
"PSYC6018,",Advanced Adult Psychopathology and Psychotherapy
"PSYC4007,",Psychology Undergraduate Dissertation Preparation
"PSYC4003,",Advanced Topics in Applied Psychology
"PSYC4000,",Psychology Honours Dissertation Preparation
"PSYC5021,",Quality Assurance in Psychological Research (Global)
"PSYC6021,",Clinical Psychology Masters Dissertation 1
"PUBP6001,",Work-based Project (ANZSOG)
"PSYC5020,",Advanced Topics in Applied Psychology (Global)
"PSYC6019,",Advanced Child Psychopathology and Psychotherapy
"PSYC4004,",Quality Assurance in Psychological Research
"PSYC3006,",Behaviour Change for Exercise and Health
"PSYC5022,",Psychology Dissertation Preparation (Global)
"PUBR3003,",Cross-Cultural Communication
"MGMT4004,",Quantitative Methods for Business Research
"MGMT5006,",Global Leadership
"PHYS3009,",Quantum Mechanics
"PHYS2006,",Classical Mechanics and Quantum Physics
"PHYS2002,",Statistical Mechanics and Thermodynamics
"PHYS1008,",Radiation Physics and Instrumentation
"PHYS4000,",Advanced Computational Quantum Mechanics
"PHTY7023,",Continence and Pelvic Health Clinics 1
"PHTY7025,",Advanced Musculoskeletal Clinical Competencies 1
"PHYS1005,",Physics 1
"OCHS3000,",Health and Safety Technology
"OCHS3001,",Employment and Environment Law
"PHYS0005,",Physics for Engineers 1
"PHYS3006,",Scientific Data Analysis
"PHTY7005,",Musculoskeletal Science Advanced Competencies 1
"PHTY6011,",Advanced Anatomy and Pathology
"OCHS1002,",Science Fundamentals for Health and Safety
"PROP3001,",Residential Property Development
"PHTY6021,",Physiotherapy Project Proposal
"OCHS2001,",Workplace Human Factors
"POLS5002,",Security and Conflict in the Indian Ocean and the Middle East
"PEEN4004,",Numerical Reservoir Simulation
"PEEN4003,",Advanced Drilling Engineering
"PEEN3001,",Fundamentals of Reservoir Engineering
"PEEN3004,",Hydrocarbon Phase Behaviour
"PEEN5000,",Introduction to Offshore Petroleum Engineering
"PARA1001,",Introduction to Paramedic Professional Practice
"OCCT5007,",Principles and Practice of Occupational Therapy
"OCHS5003,",Risk Management and Safety Technology
"PARA1002,",Essential Skills in Paramedicine
"OCHS5002,",Occupational Hygiene and Chemical Safety
"PATH6002,",Clinical Exercise Physiology for Musculoskeletal Conditions
"PATH6007,",Clinical Exercise Oncology
"PHRM2005,",Foundations in Pharmacology
"OCCT1001,",Introduction to Occupational Therapy
"BCCB3000,",Advanced Molecular Biology
"ASTR3000,",Relativistic Astrophysics and Cosmology
"BIOL3009,",Advanced Molecular Techniques
"ARCH6007,",Architectural Professional Project Delivery
"AGRI3001,",Sustainable Agricultural Systems and Food Security
"AQUA3000,",Sustainable Aquaculture
"AGRI6002,",Global Agricultural Sustainability and Food Security
"ARCH1004,",Sustainability and Structures in Architecture
"AGRI4000,",Advanced Statistics for Environment and Agriculture
"ARCH2024,",Architecture and Interior Architecture Design Studio 2A - Residential Typology and Grammar
"AGRI2006,",Soil Systems
"ANTH3006,",Understanding Social Research A
"ANTH1000,","Self, Culture and Society"
"ANTH2003,",Language and Social Life
"AQUA5002,",Aquaculture Principles and Practices
"ASIA1001,",Discovering Asia
"AGRB2006,",Agribusiness Professional Practice
"AGRI2000,",International Agricultural Trade
"ARCH2003,",Architectural Documentation and Detailing
"AGRI2004,",Agricultural Production Systems
"ARCH2025,",Architecture Methods 2A - Digital Fabrication
"ANTH3005,",Social Inequality: Possibilities for Change
"GEOP5007,",Electromagnetics and Potential Methods
"GMED2012,",Introductory Musculoskeletal Science
"GMED3022,",Integrated Neuroscience
"GMED3020,",Integrated Cardiopulmonary Science
"GRDE5000,",Design Computing
"GRDE5009,",Ethical Design
"ATOC2000,",Atmospheric and Oceanographic Sciences
"BIOL3004,","Exercise Physiology, Nutrition and Performance"
"BIOL1005,",Foundations of Biology
"BLAW6000,","Health, Safety and Environmental Law"
"ASIA3001,",Asian Century Issues and Perspectives
"BLDG1003,",Structures
"BLDG3012,",Cost Management
"BLAW2014,",Tort Liability for Business
"BLAW2011,",Safety and Environmental Health Law
"BLAW3004,",Business Intellectual Property
"BLDG1004,",Introduction to Management in Construction
"BLDG3034,",Sustainable Construction Practices in Building and Infrastructure
"BLDG2013,",Construction Plant and Equipment
"BLDG2024,",Building Surveying
"BLDG4010,",Integrated Construction Project 1
"CHEM3005,",Synthetic Methods in Chemistry
"CHEM3009,",Industrial Chemistry and Achieving Sustainability
"BCCB2003,",Biochemistry of Nutrition
"BIOL3002,",Understanding Biotechnology
"BCCB2004,",Foundations of Cell Biology
"BLDG2005,",Property Construction
"BLDG2035,",Quantities Measurement for Building Works
"GEOP5000,",Applied Geophysics
"GLBL5003,",Engaging Asia
"GLBL5002,",Engaging Africa
"GLBL5001,",Global Futures and Just Transformations
"GEOP6008,",Applied Geology and Geophysics
"GLBL5000,",Engaging Cultural Diversity
"JOUR5002,",Graduate Radio News
"JOUR5012,",Understanding Journalism
"MCEN4016,",Professional Engineering Management and Practice
"MCEN6025,",Sustainable Energy Conversion Engineering
"MEDA0003,",Introduction to Screen Production
"MATH5003,",Mathematics Masters Project 2
"MATH4002,",Advanced Topics in Optimisation
"MATH5001,",Mathematics Masters Project 1
"MEDI3008,",Applied Laboratory Medicine Practice 1
"MEDI3015,",Advanced Biomedical Science Research Project 2
"MEDI3018,",Stem Cells and Regenerative Medicine
"MEDS5011,",Neuroscience Neurodevelopment
"MIRA4015,",Medical Radiation Science Research Methodologies
"MIRA2005,",Medical Imaging Practice 3
"MIRA2010,",Radiation Therapy Practice 3
"MIRA4017,",Medical Radiation Special Topics 2
"MIRA3014,",Advanced Radiation Therapy Care
"MIRA4007,",Medical Radiation Research Project 2
"MKTG2008,",UX Accessibility and Analytics
"MKTG5012,",Strategic Brand Marketing
"MKTG6004,",User Experience Design
"MKTG6003,",Sustainable and Societal Marketing
"MIRA3002,",Comparative Medical Imaging Science
"MIRA3005,",Medical Radiation Instrumentation 3
"MIRA1004,",Radiation Therapy Practice 1
"HUMN4005,",Humanities Honours Project 2
"INDS4003,",Critical Approaches to Research Literature
"INDS4001,",Indigenous Australian Research Methodologies
"INDS6007,",Indigenous Australian Health and Well-being: an Indigenous standpoint: Community Voices
"INDS5010,",Graduate Listening to Country: First Nations' Perspectives
"INDS4002,",Indigenous Australian Research Techniques and Methods
"INDS6006,",Global Indigenous Comparative Studies
"INED4000,",Teaching in Regional and Remote Schools
"INDS4000,",Indigenous Australian Research Positioning
"INTR3002,",International Ethics
"INTR3003,",Extremism in Global Politics
"HUMN4004,",Humanities Honours Project 1
"INDS3002,",Indigenous Australian Research
"INDS4004,",Indigenous Australian Honours Dissertation Preparation
"INDS6005,",The Ethics of Memory: Interculturalism in Australia
"INDS3003,","Rock Art, Archaeology and Antiquity"
"INDS4005,",Indigenous Australian Honours Dissertation
"INDS6002,",Australian Indigenous Studies Research Project
"INTR1002,",Foundations of International Relations
"INDS3000,",Commerce in Indigenous Australian Contexts
"HUMV4001,",Exercise and Sports Science Honours Dissertation
"IMED2002,",Integrated Pharmacology and Therapeutics 1
"IMED3007,",Integrated Pharmacology and Therapeutics 3
"ICTE0001,",Introduction to Information Technology
"IMED2001,",Antimicrobial Chemotherapy
"IMED3008,",Advanced Pharmacology
"HUMN4003,",Theories and Methods for Honours Research
"INDS2002,",Indigenous Australian Arts
"INCD5000,","Social, Cultural and Historical Contexts of Indigenous Australians"
"MEDS5013,",Gerontology
"PEEN6005,",Drilling Engineering Fundamentals
"PEEN6006,",Production Technology
"PRRE4004,",Advanced Mineral Processing
"PEEN4011,",Petroleum Field Development Planning
"PEEN4006,",Petroleum Geomechanics
"POLS5000,",International Security in Theory and Practice
"ISYS2002,",Introductory Systems Analysis and Design
"ISYS6018,",Information Security Audit and Control
"ISYS6009,",Enterprise Network Security
"ISYS6004,",Green Information Technology and Sustainability
"ISYS5000,",Designing Database Systems
"JOUR3009,",Multimedia News Production
"JOUR3013,",Podcasting
"JOUR6004,",Graduate Multimedia News Production
"JOUR5016,",Entrepreneurial Journalism
"LAWS1001,",Advanced Contract Law
"LAWS4003,",Honours Dissertation in Law
"ISYS3015,",Business Application Development
"MGMT3005,",Event Management
"MEDS4002,",Epidemiology and Biostatistics Practice
"MENT2000,",Common Mental Health Disorders
"MGMT3008,",Professional Practice in Employment Relations
"MCEN4007,",Mechanical Engineering Research Project 2A
"MATH3004,",Industrial Project
"MATH2002,",Computational Mathematics
"MATH3001,",Applied Mathematical Modelling
"MATH0022,",Engineering Mathematics 2
"MATH4001,",Functional Analysis
"MEDI3007,",Introduction to Laboratory Medicine Practice
"MINE5006,",Mine Management and Governance
"NPSC0001,",Science Foundations
"MXEN4003,",Automatic Control
"ISAD5001,",Systems Analysis
"ISAD5000,",Advanced Optimisation Techniques
"ISEC3006,",Cyber Security Capstone Project 1
"ISEC4002,",Extended Cyber Security - Intrusion Detection System and Incident Handling
"ISEC6001,",Intrusion Detection
"ISEC4000,",Extended Cyber Security Concepts
"INDS5009,",Indigenous Research Methodologies
"INDS5001,",Introduction to Indigenous Australians
"ISYS3012,",Advanced Business Technologies
"JOUR0001,",Introduction to Journalism
"JOUR3002,",Presentation for Broadcast
"JOUR5003,",Graduate News Writing and Reporting
"JOUR5006,",Graduate Journalism Industry Placement
"ISAD4000,",Software Engineering Project A
"ISAD4001,",Software Engineering Project B
"INVE6000,",Investments and Fund Management
"ISEC3007,",Cyber Security Capstone Project 2
"ISEC4001,",Extended Cyber Crime and Security Enhanced Programming
"ISYS2001,",Introduction to Business Programming
"INED3001,",Indigenous Australian Education
"ISYS2008,",Enterprise Technologies
"ISYS2007,",Database
"PHAR4008,",Management and Leadership in Pharmacy
"PHRM2006,",Pharmacology Principles
"PHTY7019,",Advanced Musculoskeletal Clinical Competencies 2
"PHAR2001,",Pharmaceutical Formulation
"PHTY7008,",Musculoskeletal Science Advanced Competencies 2
"PHYS4003,",Advanced Topics in Astrophysics
"PHRM2004,",Pharmacokinetics and Pharmaceutical Analysis
"PHRM3005,",Advanced Pharmacokinetics and Drug Bioanalysis
"PHTY7021,",Continence and Pelvic Health Clinics 2
"PHYS2005,",Electromagnetism
"NURS5024,",Diabetes Professional Practice
"NUTR5006,",Nutrition and Dietetics Research Project
"OCCT2004,",Integrated Ergonomics and Safety Science
"OCCT2001,",Applied Physical Rehabilitation
"OCCT4007,",Special Topic in Clinical Education
"OCHS5006,",Ergonomics
"PAED3000,",Principles and Practice of Paediatrics
"PARA4000,",Paramedicine Honours Preparation
"PATH3003,",Advanced Biomechanics
"PARA4001,",Paramedicine Honours Dissertation
"NUTR3005,",Nutrition Communication in Practice
"NURS4013,",Nursing Honours Dissertation
"NUTR3000,",Food and Nutrition Sociology
"NURS5019,",School Aged Health Specialisation
"NURS4012,",Nursing Honours Preparation
"OCCT5006,","Environment, Health and Disability"
"OCHS5000,",Compensation and Injury Management
"OCHS5001,",Occupational Diseases
"NURS5018,",Advanced Clinical Nursing Science 2
"OCHS3004,",Emergency Management and Incident Investigation
"OCHS3003,",Toxicology and Diseases
"OCHS2003,",Injury Management and Workers Compensation
"OCHS2000,",Occupational Hygiene
"PEEN3002,",Petroleum Production Technology
"PEEN3006,",Drilling Engineering and Fluids Laboratory
"PEEN3008,",Advanced Reservoir Engineering
"OCHS3006,",Health and Safety Management
"PRRE2005,",Fundamentals of Mineral Processing
"PRRE5012,",Mineral Processing
"PRRE3005,",Hydrometallurgy
"PRRE4010,",Gas Transmission and Distribution
"SPAT5005,",Digital Image Interpretation
"SPAT5013,",Spatial Database Systems
"SPAT4009,",Spatial Sciences Project
"SCWK3004,",Working in Human Service Organisations
"SPAT2008,",Integrated Surveying
"SPAT3013,",Earth Observation from Space
"SPAT4001,",Survey Law Ethics Practice
"PUBR3002,",Reflective Practice
"REHT2005,",Allied Health Research Design
"PWRP0004,",Travel Writing and Photography
"REHT5008,",Promoting Human Rights and Quality of Life
"REHT3003,",Clinical Exercise and Sports Injury
"REHT5007,",Positive Behaviour Support Practice Application
"REHT5010,","Understanding Behaviour, Needs and Experiences"
"REHT5009,",Supporting Accessible Communication
"SCWK3001,",Social Work with Older People
"SPAT2014,",Environmental Applications of Geographic Information Science and Remote Sensing
"SPAT3002,",Advanced Photogrammetry
"SPAT4004,",Applied Geodetic Surveying
"SPAT4005,",Precise Engineering and Deformation Surveys
"PUBH6005,",Global Public Health Challenges
"PUBH4001,",Public Health Honours Dissertation
"PUBH3004,",Global Public and Planetary Health
"MGMT6012,","Remuneration, Reward and Performance Management"
"MGMT6042,",Advanced Quantitative Research Methods
"MGMT6069,",Industry and Cultural Awareness Tour
"MGMT6054,",Business Models and Feasibility
"MICB2001,",Translational Microbiology
"MGMT6088,",Wicked Problems
"MICB3002,",Advances in Molecular Microbiology
"MIDW1004,",Professional Midwifery Studies
"MGMT4005,",Introduction to Research Methods for Honours
"MGMT5011,",High Performance Teams
"MGMT5001,",Human Resource Development
"MGMT4009,",Commerce Research Project Advanced
"MGMT5031,",Public Sector Marketing
"MINE3000,",Mine Survey Project
"MGMT6009,",Industry Project
"MGMT6015,",Global Employment and Human Resource Management
"MGMT6072,",Strategic Human Resource Management Research and Analytics
"MGMT4006,",Qualitative Methods for Research
"MGMT6044,",Introduction to Business Research Methods
"MGMT6043,",Advanced Qualitative Research Methods
"MGMT5010,",International Industrial Relations
"MGMT4000,",Honours Dissertation in Business
"MGMT5046,",Transformation and Renewal
"PSYT4000,",Principles of Psychological Assessment
"PUBH3003,",Applied Public Health Practice
"PUBH5007,",Evidence Informed Public Health Practice
"PUBH6036,",Public Health Capstone
"PUBP6008,",Managing Public Sector Organisations (ANZSOG)
"PUBP6007,",Government In A Market Economy (ANZSOG)
"PSYT2000,",Occupational Therapy in Neuropsychiatry and Recovery
"PSYT5000,",Principles of Psychological Assessment (Global)
"PUBH2004,",Indigenous Australian Professional Practice and Leadership
"PUBP6006,",Leading Public Sector Change (ANZSOG)
"PUBH6025,",Public Health Special Topics
"PUBP6004,",Designing Public Policies and Programs (ANZSOG)
"PUBP6009,",Decision Making Under Uncertainty (ANZSOG)
"PUBP6011,",Public Financial Management (ANZSOG)
"PUBH3007,","Climate Change, Health and Big Data"
"PSYC6014,",Psychological Theories and Applications
"PSYC5025,",Psychology Dissertation (Global)
"PSYC5023,",Introduction to Counselling (Global)
"PSYC7003,",Psychology Doctoral Practicum 3
"PSYC6024,",Clinical Psychology Masters Practicum 2
"PSYC6032,",Psychological Theories and Applications (Global)
"PSYC6031,",Psychology Practicum (Global)
"PUBH6030,",Public Health Protection and Control
"PSYC6023,",Advanced Professional Practice and Clinical Interventions
"PSYC4009,",Introduction to Counselling
"PSYC6025,",Clinical Psychology Masters Dissertation 2
"PSYC6022,",Innovation and Evaluation in Clinical Practice
"PSYC4001,",Psychology Honours Dissertation
"STEN4006,",Structural Dynamics
"STEN4007,",Sustainability and Durability of Concrete Structures
"SUST5018,",People and Planet
"STAT4005,",Advanced Topics in Mathematical Sciences A
"STAT5004,",Financial Engineering 2
"STAT5005,",Quantitative Biology
"STEN6007,",Structural Analysis of Indeterminate Structures
"STAT5007,",Stochastic Processes
"STEN6003,",Structural Dynamics and Applications
"SPAT6009,",Spatial Sciences Research Project B
"SPAT6008,",Spatial Sciences Research Project A
"SPPA2004,",Speech Sound Disorders
"SPPA5009,",Hearing and Speech Sound Disorders
"SPPA5007,",Acquired Language and Cognitive Communication Disorders
"SPPA5011,",Voice Disorders
"SPPA5010,",Management of Child Language Disorders
"SPPA1000,",Studies in Language Development
"SPPA2008,",Acquired Language and Cognitive Communication Disorders
"SPPA2010,",Hearing Disorders and Fluency Disorders
"SPPA2009,",Child Language Disorders
"STAT3005,",Stochastic Processes
"STAT3008,",Provisioning Techniques
"STAT4006,",Advanced Topics in Mathematical Sciences B
"SPAT6005,",Spatial Modelling
"STEN4005,",Advanced Concrete Design and Construction
"SPAT3000,",Measurement and Adjustment Analysis
"ACCT6005,",CPA Advanced Audit and Assurance
"AGRI3002,",Integrated Pest Management
"AGRI1001,",Introduction to Agricultural Systems
"AGRI1002,",Introduction to Agricultural Production Systems
"AGRI3005,",Pasture and Rangeland Management
"AGRI5000,",Crop and Pasture Science
"AGRI5009,",Integrated Pest Management
"AGRI6005,",Life Sciences Research Dissertation
"COMP6013,",Explainable Approaches to Machine Learning
"COMP6017,",Cloud Ops - Security and Automation
"CMPE4001,",Extended Software Engineering Testing
"CNCO5002,",Specialist Computer Communication
"CMPE4005,",VLSI Design
"COMS0001,",Communication Skills
"CMPE5004,",Internet of Things 3
"CHEN3006,",Palm Oil and Oleochemical Process
"CHEN3013,",Sustainable Palm Oil Processing and Production
"CHEM3001,",Environmental Chemistry
"CHEN4003,",Advanced Process Integration
"HUMN4001,",Humanities Honours Dissertation 2
"HEAL5004,",Strategic and Operational Health Management
"HLPR3003,","Health Promotion, Media and Advocacy"
"HRIG5002,",International Human Rights Law and Practice
"HRIG5014,",Dialogue across Cultures and Religions
"HRIG5000,",Human Rights Education in Practice
"HUMN0002,",Humanities Foundations
"HLPR5000,",Chronic Condition Self-Management
"HUMB3008,",Clinical Neurophysiology
"HUMB2011,",Limb Anatomy and Biomechanics
"HUMB3011,",Performance Analysis and Introductory Data Science
"HLPR2001,",Preventing Non-Communicable Diseases
"HUMN4000,",Humanities Honours Dissertation 1
"HUMN4002,",Honours Research Seminar
"GRDE5008,",Innovation by Design
"HEAL6029,",Health Sciences Research Dissertation
"GRDE5003,",Typography
"HLPR5001,",Contemporary Practice in Health Promotion
"HRIG5005,",Indigenous Rights
"HEAL5005,",Health System Planning
"HEAL6044,",Economic Evaluation and Decision Making in Health
"HIST0001,",20th Century World History
"HRIG5003,","Activism, Advocacy and Change"
"COMS1014,",Foundations of Communication
"COMT4003,",Mobile Radio Communications
"ECEV3003,",Behavioural Ecophysiology
"ECEV3001,",Environmental Research Project
"CSEN6004,",Engineering Management Project
"COMS0011,",Effective Communication Skills
"ECON5004,",Mathematical Modelling in Business
"ECON3006,",Borneo and the Global Economy
"ECON3004,",Macroeconomic Theory
"ECON6018,",Mineral and Energy Economics Capstone
"ECON0001,",Principles of Economics
"BIOL2004,",Research Skills for Biomedical Sciences
"BLDG2036,",Quantities Measurement for Construction Works
"BOTA2000,",Plant Diversity and Adaptation
"BIOL3008,",Advanced Bioinformatics
"BCCB3001,",Frontiers in Cell Biology
"AGRI6004,",Life Sciences Research Design
"ENST6004,",Aquatic Research Project
"ENST1000,",Global Environmental Challenges
"EPID6001,",Quantitative Methods
"ENST2003,",Ecotoxicology and Environmental Monitoring
"FOOD3004,",Food Science Professional Placement
"FINA1000,",Art and Creativity
"FOOD3002,",Food Processing and Preservation Project
"FOOD3005,",Functional Foods and Product Development
"FOOD2004,",Food Processing
"GEOL5009,",Geoscience Exploration Project
"GEOL5007,",Energy Resources
"GEOL5008,",Mining and Exploration Geology
"GEOL6008,",Geoscience Master Project B
"GEOP2008,",Environmental and Groundwater Geophysics
"GEOL3001,",Tectonics and the Dynamic Earth
"GEOL6009,",Applied Field Techniques
"INDH2004,",Indigenous Australian Health Project Evaluation
"INDH2012,",Behavioural Neuroscience
"INDH2013,",Psychopharmacology in Indigenous Mental Health
"KORE3002,",Korean Popular Culture
"LAWS6002,",Legal Research Methods
"MATH0004,",Introduction to Financial Literacy and Mathematic Fundamentals
"JOUR5000,",Graduate Media Law and Ethics
"LAWS0000,",Introduction to Legal Foundations
"LANG1000,",Noongar- Awakening an Endangered Indigenous Language
"MARI2000,",Marine Ecology
"ISYS3010,",Enterprise Architecture
"MATH1018,",Advanced Linear Algebra 1
"MATH0016,",Introduction to Financial Mathematics
"MATH6004,",Industrial Engineering Masters Project
"MATH6001,",Mathematics Masters Project 3
"MCEN4001,",Industrial Fluid Mechanics
"IMED3011,",Evidence Informed Medicine Use
"NPSC0002,","Earth, Cosmos and Future Technologies"
"TAXA6008,",Graduate Curtin Taxation Clinic
"SUST7000,",Introduction to Environment & Climate Emergency
"URDE1005,",Diversity and Cultural Planning
"TAXA5001,",Fundamentals of Australian Tax Law
"XINO2005,",International Experience 2
"XINO2004,",International Experience 1
"XINO2006,",International Experience 3
"XINO2007,",International Experience 4
"VISA3006,",Fine Art Concepts and Contexts
"VISA2024,",History and Theory of Art and Design 2
"VISA3004,",Art Visual Research 4
"VISA3010,",Fine Art Studio Practice
"VISA3009,",Fine Art Project Development
"VISA2005,",Fine Art Studio Processes
"VISA1006,",Introduction to History of Art and Design
"VISA2004,",Fine Art Studio Strategies
"VISA1005,",Fine Art Studio Materials
"VISA5003,",Art and Design Project 2
"VISA5005,",Reviewing Literature in Art and Design
"VISA5004,",Analysing Research Methods in Art and Design
"VISA3003,",Art Visual Research 3
"VISA6001,",Art and Design Exegesis Writing
"WORK3007,",Go Practice - Internship 3
"XINA3081,",Cross Institutional Study (within Australia)
"XINO5028,",Future Thinking (University of Aberdeen)
"XINO5031,",Investment Analysis for Energy (University of Aberdeen)
"VISA2021,",Art Visual Research 1
"VISA1015,",Introduction to Creative Arts
"VISA2023,",Fine Art Theory and Criticism
"VISA5011,",Graduate Fine Art Studio Methods
"WORK3003,",Go Practice - Internship 2
"XINA2008,",Cross Institutional Study (within Australia)
"XINO1008,",International Study Abroad
"XINO1007,",International Study Abroad
"XINO1016,",International Study Abroad - Community Service
"XINO1015,",International Study Abroad - Asia Study Tour
"URDE3005,",Special Topics in Urban & Regional Planning
"URDE4008,",Planning Dissertation Preparation
"URDE5005,",Planning Dissertation Preparation
"URDE6000,",Planning Masters Dissertation
"TREN4002,",Traffic and Road Pavement Engineering
"URDE2011,",Environmental Planning
"URDE4007,",Planning Honours Dissertation
"TAXA5020,",Fundamentals of Special Taxation Topics
"TAXA3004,","Indirect, State and Employment Taxes"
"TAXA5006,",Advanced Corporate Taxation
"SXLG6006,",Foundations of Sexology
"TAXA3016,",Curtin Taxation Clinic
"TOUR3000,",Managing Tourism Destinations
"XINO5038,",International Experience 15
"XINO5037,",International Experience 14
"XINO5040,",International Experience 17
"XINO5032,",International Study Abroad 8
"XINO5036,",International Experience 13
"XINO5035,",International Study Abroad 11
"XINO5022,",Science and Engineering International Experience 1
"XINO5034,",International Study Abroad 10
"XINO5039,",International Experience 16
"XINO5041,",International Experience 18
"XINO5033,",International Study Abroad 9
"XINO2011,",International Experience 8
"XINO2010,",International Experience 7
"XINO2009,",International Experience 6
"XINO2012,",International Experience 9
"XINO2008,",International Experience 5
"WORK5004,",Go Practice 2
"ECON6022,",Regional and Socioeconomic Impact
"LAWS3018,",Consumer Law and Policy
"MGMT5019,",Strategy in Practice
"XINA1019,",Cross Institutional Study (within Australia)
"XINA3080,",Cross Institutional Study (within Australia)
"XINO3002,",Health Sciences Studies Abroad Topic 2
"POLS0001,",Introduction to Political Science
"TAXA5005,",Taxation of Trusts
"MGMT6074,",Organisational Strategy
"XINA1008,",Cross Institutional Study (within Australia)
"XINA1009,",Cross Institutional Study (within Australia)
"BLAW3005,",Practical Employment Law
"LAWS3015,",Occupational Health and Safety Law
"MEDA0001,",Introduction to Media
"CHEM4001,",Advanced Topics in Chemistry
"CHEM4002,",Advanced Topics in Chemical Analysis and Spectroscopy
"AGRI5004,",Management of Food Waste and Loss
"COMP2004,",Computer Graphics
"CONS2000,",Constitutional Law
"EDUC1021,",Child Development for Educators
"LAWS3016,",Principles of Australian Taxation Law
"LAWS3019,",Comparative Aboriginal Issues
"LAWS5016,",Principles and Models of Corporate Governance
"COMP0004,",Fundamentals of Information Technology
"EDUC1027,",Educators Inquiring About the World
"LAWS3003,",Employment Law
"LAWS3006,",Law Review
"LAWS3032,",Comparative Anti-Corruption Law
"BLAW3011,",Native Title Law and Policy
"ECON6013,",Resource Sector Finance
"ECON6017,",Energy Policy
"ECON6014,",Primary Energy Economics
"ACCT0001,",Introduction to Accounting (Dubai Foundation)
"BLAW3009,",Energy Governance
"CHEM0004,",Introduction to Chemistry (Dubai Foundation)
"BLAW3014,",Professional Responsibility
"NETS2002,","Social Media, Communities and Networks"
"MKTG3002,",Contemporary Advertising Practice
"NURS5047,",Clinical Health Systems
"PUBR3000,",Public Relations in Industry
"MGMT6078,",Socially Responsible Supply Chains
"MGMT6018,",Supply Chain Quality Management
"MKTG2000,",Integrated Marketing Communications
"MKTG6006,",Digital and Interactive Marketing
"SPPA5003,",Introduction to Speech Pathology
"HUMB5000,",Fundamentals of Clinical Anatomy and Physiotherapy Practice
"PATH1000,",Introduction to Pathophysiology
"ENGL0018,",English Language Bridging (ELB) Extended Preparation
"REHT6003,",Foundations of Evidence Based Clinical Practice
"PSYC6020,",Clinical Psychology Masters Practicum 1
"SPPA3009,",Speech Pathology Fieldwork 1
"NURS5037,",Practice Improvement Research Project
"NURS5023,",Nursing Professional Practice Capstone
"NURS5020,",Behavioural Responses to Illness
"SPPA6010,",Speech Pathology Fieldwork 1
"SPPA4015,",Speech Pathology Fieldwork 3
"MIRA4008,",Clinical Medical Imaging Practice 5
"NUTR6005,",Dietetic Practice Techniques
"NURS5021,",Nursing Professional Practice 2
